,기업명,업종분류,사원수,설립연도,매출액
0,레몬베이스,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2020,
1,오토위니,상품 중개업,55.0,2014,7295454.0
2,페이타랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,66.0,2018,
3,로보코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,33.0,2017,60882.0
4,한화비전,방송 및 무선 통신장비 제조업,879.0,2018,
5,디플래닉스,그 외 기타 정보 서비스업,27.0,2022,
6,발란,통신 판매업,64.0,2015,5217961.0
7,헬스피디아,그 외 기타 정보 서비스업,5.0,2021,
8,로보코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,33.0,2017,60882.0
9,플라잉캣,통신 판매업,3.0,2018,5361.0
10,월급쟁이부자들,그 외 기타 교육기관,51.0,2018,2399000.0
11,에잇퍼센트,시장 조사 및 여론 조사업,56.0,2015,140730.0
12,앤트,자동차 신품 부품 및 내장품 판매업,3.0,2015,213342.0
13,포스페이스랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,19.0,2019,510.0
14,유케이미디어,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2021,
15,링키스,시스템ㆍ응용 소프트웨어 개발 및 공급업,3.0,2022,
16,차봇모빌리티,시스템ㆍ응용 소프트웨어 개발 및 공급업,77.0,2017,1036481.0
17,카비,기타 전자 부품 제조업,22.0,2010,5932.0
18,뽀득,통신 판매업,190.0,2017,314756.0
19,리걸테크,시스템ㆍ응용 소프트웨어 개발 및 공급업,27.0,2015,
20,코넥시오에이치,시스템ㆍ응용 소프트웨어 개발 및 공급업,21.0,2021,
21,에디트콜렉티브,시스템ㆍ응용 소프트웨어 개발 및 공급업,14.0,2018,842.0
22,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68.0,2020,9797.0
23,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68.0,2020,9797.0
24,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68.0,2020,9797.0
25,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68.0,2020,9797.0
26,잉글리시에그,서적 및 문구용품 소매업,62.0,2009,1857483.0
27,씨앤에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,10.0,2019,122573.0
28,인그래디언트,시스템ㆍ응용 소프트웨어 개발 및 공급업,4.0,2020,25621.0
29,에이에프아이,포털 및 기타 인터넷 정보 매개 서비스업,23.0,2017,37352.0
30,티웨이브,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2016,123860.0
31,와이오엘오,상품 중개업,40.0,2017,102037.0
32,포스페이스랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,19.0,2019,510.0
33,아레나캐스트,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2012,963821.0
34,컨비니언스,시스템ㆍ응용 소프트웨어 개발 및 공급업,35.0,2013,1052327.0
35,쿤텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,79.0,2016,691431.0
36,쿤텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,79.0,2016,691431.0
37,누벤트,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,15.0,2014,12310.0
38,셀러허브,통신 판매업,50.0,2012,1200313.0
39,아이트럭,포털 및 기타 인터넷 정보 매개 서비스업,18.0,2020,
40,컨워스,그 외 기타 정보 서비스업,9.0,2020,
41,팀블랙버드,시스템ㆍ응용 소프트웨어 개발 및 공급업,22.0,2018,158941.0
42,팀블랙버드,시스템ㆍ응용 소프트웨어 개발 및 공급업,22.0,2018,158941.0
43,델레오코리아,상품 중개업,46.0,2016,169280.0
44,옵틱라이프,"가방, 시계, 안경 및 기타 생활용품 도매업",4.0,2018,
