,기업명,기업규모,매출액,사원수,설립일,상세업종
0,레몬베이스,중소기업,"
    -","
    -명",2020년 10월 30일,응용 소프트웨어 개발 및 공급업
1,오토위니,대기업,"
    연결 재무제표 : 2조 7,545억별도 재무제표 : 2조 2,408억
","
    4,672명  (2023.09)",2000년 04월 10일,응용 소프트웨어 개발 및 공급업
2,페이타랩,중소기업,"
    5억  (2021.12)","
    52명  (2022.07)",2018년 02월 28일,시스템 소프트웨어 개발 및 공급업
3,한화비전,대기업,"
    8,041억  (2022.12)","
    781명  (2022.12)",2018년 04월 02일,방송장비 제조업
4,발란,중소기업,"
    891억  (2022.12)","
    122명  (2022.12)",2015년 05월 14일,전자상거래 소매 중개업
5,플라잉캣,중소기업,,"
    18명  (2022.10)",2018년 02월 27일,기타 통신 판매업
6,AB180,중소기업,"
    272억  (2022.12)","
    -명",2015년 11월 04일,응용 소프트웨어 개발 및 공급업
7,월급쟁이부자들,중소기업,"
    118억  (2021.12)","
    -명",2018년 03월 27일,기타 기술 및 직업 훈련학원
8,에잇퍼센트,중소기업,"
    31억  (2022.12)","
    55명  (2022.12)",2014년 11월 13일,시스템 소프트웨어 개발 및 공급업
9,앤트,중견기업,"
    194억  (2022.12)","
    103명  (2023.04)",1996년 01월 16일,응용 소프트웨어 개발 및 공급업
10,포스페이스랩,중소기업,"
    47억  (2021.12)","
    9명  (2020.05)",2007년 03월 23일,"도배, 실내 장식 및 내장 목공사업"
11,차봇모빌리티,중소기업,"
    196억  (2022.12)","
    60명  (2022.12)",2016년 08월 24일,시스템 소프트웨어 개발 및 공급업
12,뽀득,중소기업,"
    31억  (2021.12)","
    63명  (2021.08)",2017년 08월 08일,그 외 기타 달리 분류되지 않은 제품 제조업
13,에디트콜렉티브,중소기업,"
    -","
    -명",2018년 09월 10일,시스템 소프트웨어 개발 및 공급업
14,제이앤피메디,중소기업,"
    -","
    12명  (2021.12)",2020년 07월 17일,응용 소프트웨어 개발 및 공급업
15,제이앤피메디,중소기업,"
    -","
    12명  (2021.12)",2020년 07월 17일,응용 소프트웨어 개발 및 공급업
16,제이앤피메디,중소기업,"
    -","
    12명  (2021.12)",2020년 07월 17일,응용 소프트웨어 개발 및 공급업
17,제이앤피메디,중소기업,"
    -","
    12명  (2021.12)",2020년 07월 17일,응용 소프트웨어 개발 및 공급업
18,잉글리시에그,중소기업,"
    191억  (2022.12)","
    67명  (2023.12)",2009년 02월 05일,교과서 및 학습 서적 출판업
19,씨앤에이아이,중소기업,,"
    36명  (2022.03)",2019년 10월 21일,응용 소프트웨어 개발 및 공급업
20,에이에프아이,중소기업,"
    47억  (2021.12)","
    8명  (2022.03)",2020년 02월 17일,농업 및 임업용 기계 제조업
21,티웨이브,중소기업,"
    -","
    -명",2016년 02월 22일,시스템 소프트웨어 개발 및 공급업
22,와이오엘오,중소기업,"
    -","
    30명  (2021.12)",2017년 03월 14일,전자상거래 소매 중개업
23,포스페이스랩,중소기업,"
    47억  (2021.12)","
    9명  (2020.05)",2007년 03월 23일,"도배, 실내 장식 및 내장 목공사업"
24,아레나캐스트,중소기업,,"
    32명  (2021.05)",2010년 10월 07일,유선 온라인 게임 소프트웨어 개발 및 공급업
25,컨비니언스,중소기업,"
    148억  (2022.12)","
    32명  (2021.06)",2013년 09월 26일,컴퓨터 시스템 통합 자문 및 구축 서비스업
26,쿤텍,중소기업,"
    82억  (2022.12)","
    73명  (2023.04)",2016년 01월 28일,시스템 소프트웨어 개발 및 공급업
27,쿤텍,중소기업,"
    82억  (2022.12)","
    73명  (2023.04)",2016년 01월 28일,시스템 소프트웨어 개발 및 공급업
28,셀러허브,중소기업,"
    -","
    74명  (2022.12)",2012년 07월 31일,전자상거래 소매 중개업
29,아이트럭,중소기업,"
    -","
    -명",2020년 07월 31일,컴퓨터 시스템 통합 자문 및 구축 서비스업
30,팀블랙버드,중소기업,"
    8억  (2021.12)","
    -명",2018년 09월 27일,응용 소프트웨어 개발 및 공급업
31,팀블랙버드,중소기업,"
    8억  (2021.12)","
    -명",2018년 09월 27일,응용 소프트웨어 개발 및 공급업
