,기업명,주소,업종분류,설립연도
0,한화비전,경기도 성남시 분당구 판교로319번길 6,방송장비 제조업,2018-04-01
0,디플래닉스,"서울특별시 서초구 강남대로 465 (서초동, 교보생명보험(주)서초사옥) B동 4층",데이터베이스 및 온라인 정보 제공업,2021-12-17
0,AB180,"서울특별시 서초구 강남대로61길 17 (서초동, 밀라텔쉐르빌) 3층",응용 소프트웨어 개발 및 공급업,2015-11-04
0,월급쟁이부자들,"서울특별시 서초구 강남대로61길 17 (서초동, 밀라텔쉐르빌) 3층",그 외 기타 분류 안된 교육기관,2018-03-27
0,에잇퍼센트,"서울특별시 종로구 종로1길 50 비동 13층(중학동, 더케이트윈타워)",시스템 소프트웨어 개발 및 공급업,2014-11-13
0,차봇모빌리티,"서울특별시 성동구 왕십리로 125 (성수동1가, KD타워) 801호",시스템 소프트웨어 개발 및 공급업,2016-08-24
0,에이치디현대글로벌서비스,"부산광역시 해운대구 센텀중앙로 79 (우동, 센텀사이언스파크) 7층",엔지니어링 서비스업,2016-11-28
0,잉글리시에그,"서울특별시 강서구 공항대로 665 (염창동, KCC오토타워) 7층","서적, 잡지 및 기타 인쇄물 도매업",2009-02-05
0,셀러허브,"서울특별시 강남구 테헤란로79길 11 3층 (삼성동, 에이타워1)",전자상거래 소매 중개업,2012-07-31
